bulan;tahun;jenis;kode_trayek;trayek;jumlah_penumpang
Agustus;2019; ANGKUTAN UMUM LAINNYA ;GR2;TANAH ABANG EXPLORER;211.974
Agustus;2019; ANGKUTAN UMUM LAINNYA ;TJC;TRANSJAKARTA CARES;4.373
Agustus;2019; ANGKUTAN UMUM LAINNYA ;G1;GRATIS GATE NON BRT;3.033
Agustus;2019; ANGKUTAN UMUM LAINNYA ;;ROMBONGAN PENGUNGSI PENCARI SWAKA;0
Agustus;2019; ANGKUTAN UMUM LAINNYA ;;LEBARAN BETAWI;0
Agustus;2019; ANGKUTAN UMUM LAINNYA ;;ROMBONGAN AL IRSYAD - MONAS;0
Agustus;2019; ANGKUTAN UMUM LAINNYA ;;POLDA-GBK;0
Agustus;2019; ANGKUTAN UMUM LAINNYA ;;ROMBONGAN PKK DKI - VELDROME;0
Agustus;2019; ANGKUTAN UMUM LAINNYA ;;ROMBONGAN MASJID DKI - JIC;0
Agustus;2019; ANGKUTAN UMUM LAINNYA ;;ROMBONGAN PJK KAMPUNG KB-DKI;0
Agustus;2019; ANGKUTAN UMUM LAINNYA ;;TIKET KERTAS GRATIS PLN PADAM (NON BRT);10.138
Agustus;2019; ANGKUTAN UMUM LAINNYA ;;ROMBONGAN DKI BALAIKOTA - PIK;4.125
Agustus;2019; ANGKUTAN UMUM LAINNYA ;;ROMBONGAN APRESIASI LURAH/CAMAT DKI;6.048
Agustus;2019; ANGKUTAN UMUM LAINNYA ;;ROMBONGAN BUDAYA DISABILITAS;345
Agustus;2019; ANGKUTAN UMUM LAINNYA ;;ROMBONGAN PAWAI OBOR 1 M 1441 H;4.624
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-1;TANJUNG PRIOK-PLUMPANG;82.802
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-2;DUREN SAWIT - KAMPUNG MELAYU;76.717
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-3;LEBAK BULUS - PONDOK LABU;67.283
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-4;GROGOL - TUBAGUS ANGKE;70.301
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-5;SEMPER - ROROTAN;104.156
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-6;KAMPUNG RAMBUTAN - PONDOK GEDE;105.893
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-7;TANAH ABANG-TAWAKAL;75.979
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-8;ROXI - BENDUNGAN HILIR;9.039
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-10;TANAH ABANG-KOTA;38.193
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-11;TANAH ABANG-KEBAYORAN LAMA;54.714
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-12;TANAH ABANG- KAMPUNG BARU KEBAYORAN;41.441
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-14;TANAH ABANG-MERUYA;114.606
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-15;BULAK TURI - TANJUNG PRIOK;169.954
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-16;PGC - CONDET;146.749
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-17;PULOGADUNG - SENEN ;44.658
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-18;KALIBATA - KUNINGAN;42.372
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-19;PINANG RANTI - SETU;223.204
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-20;LUBANG BUAYA - CAWANG UKI;150.717
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-21;DWIKORA - CILILITAN;151.16
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-22;DWIKORA - PENAS;72.276
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-24;PULOGADUNG-PASAR SENEN;96.253
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-25;PASAR REBO - KALISARI;86.431
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-26;RAWAMANGUN-KALIMALANG;80.448
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-27;PULOGEBANG - ROROTAN;81.366
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-28;PASAR REBO - TAMAN WILADATIKA;105.16
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-29;TANJUNG PRIOK - KELAPA GADING;148.309
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-30;MERUYA - CITRALAND;236.986
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-31;BLOK M - PONDOK LABU;139.562
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-32;PETUKANGAN - LEBAK BULUS;163.368
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-33;PULO GADUNG - KOTA;61.398
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-34;RAWAMANGUN - KLENDER;80.218
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-36;CILANGKAP - CILILITAN;44.629
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-37;CILILITAN - CONDET VIA KAYU MANIS;147.135
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-38;KAMPUNG RAMBUTAN - BULAK RINGIN;104.364
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-39;KALIMALANG - RAWAMANGUN;70.958
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-40;TAMAN HARAPAN BARU - PULOGEBANG;41.327
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-44;LENTENG ANGGUNG - ANDARA;81.182
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-45;LEBAK BULUS-RAGUNAN;118.005
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-47;PASAR MINGGGU-CIGANJUR;55.397
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-50;KALIDERES - PURIKEMBANGAN;101.913
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-51;TAMAN KOTA - BUDI LUHUR;195.44
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-56;GROGOL - SRENGSENG;36.143
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-58;ISLAMIC - ROROTAN;104.166
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-59;RAWAMANGUN-RAWASENGON;119.78
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-60;KELAPA GADING - RUSUN KEMAYORAN;61.825
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-61;PULOGADUNG-CEMPAKA MAS;57.729
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-72;CILANGKAP - CILILITAN;82.541
Agustus;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-77;TANJUNG PRIOK-JEMBATAN ITEM;56.182
Agustus;2019;ANGKUTAN WISATA;BW1;SEJARAH JAKARTA;59.694
Agustus;2019;ANGKUTAN WISATA;BW2;JAKARTA MODERN;40.303
Agustus;2019;ANGKUTAN WISATA;BW4;PENCAKAR LANGIT;19.568
Agustus;2019;ANGKUTAN WISATA;BW3;ART N CULINARY;13.063
Agustus;2019;ANGKUTAN WISATA;BW5;WISATA KALIJODO;14.481
Agustus;2019;ANGKUTAN WISATA;BW6;MAKAM MBAH PRIUK;2.242
Agustus;2019;ANGKUTAN WISATA;BW7;JAKARTA BELANJA;8.961
Agustus;2019;ANGKUTAN UMUM INTEGRASI RUSUN;2E;RUSUN RAWA BEBEK - PAKIN;18.513
Agustus;2019;ANGKUTAN UMUM INTEGRASI RUSUN;2F;RUSUN CAKUNG BARAT (ALBO) - PULO GADUNG 1;24.835
Agustus;2019;ANGKUTAN UMUM INTEGRASI RUSUN;2H;RUSUN JATI RAWASARI - SENEN;4.529
Agustus;2019;ANGKUTAN UMUM INTEGRASI RUSUN;3A;RUSUN PESAKIH - KALIDERES;28.483
Agustus;2019;ANGKUTAN UMUM INTEGRASI RUSUN;3B;RUSUN FLAMBOYAN - KALIDERES;8.282
Agustus;2019;ANGKUTAN UMUM INTEGRASI RUSUN;3C;RUSUN KAPUK MUARA - PENJARINGAN;7.728
Agustus;2019;ANGKUTAN UMUM INTEGRASI RUSUN;4E;RUSUN JATINEGARA KAUM - PULO GADUNG 2;3.557
Agustus;2019;ANGKUTAN UMUM INTEGRASI RUSUN;9F;RUSUN TAMBORA - PLUIT;5.754
Agustus;2019;ANGKUTAN UMUM INTEGRASI RUSUN;10A;RUSUN MARUNDA - TANJUNG PRIOK;49.457
Agustus;2019;ANGKUTAN UMUM INTEGRASI RUSUN;10B;RUSUN CIPINANG BESAR SELATAN - PENAS KALIMALANG;10.892
Agustus;2019;ANGKUTAN UMUM INTEGRASI RUSUN;11B;RUSUN RAWA BEBEK - PENGGILINGAN;7.583
Agustus;2019;ANGKUTAN UMUM INTEGRASI RUSUN;11C;RUSUN PINUS ELOK - RUSUN PULO GEBANG;32.328
Agustus;2019;ANGKUTAN UMUM INTEGRASI RUSUN;11K;RUSUN KOMARUDIN - PENGGILINGAN;8.449
Agustus;2019;ANGKUTAN UMUM INTEGRASI RUSUN;11M;RUSUN RAWA BEBEK - BUKIT DURI;39.215
Agustus;2019;ANGKUTAN UMUM INTEGRASI RUSUN;11N;RUSUN CIPINANG MUARA - JATINEGARA;3.493
Agustus;2019;ANGKUTAN UMUM INTEGRASI RUSUN;11P;RUSUN PONDOK BAMBU - WALIKOTA JAKARTA TIMUR;3.544
Agustus;2019;ANGKUTAN UMUM INTEGRASI RUSUN;11R;RUSUN CAKUNG KM 2 - BUKIT DURI;8.167
Agustus;2019;ANGKUTAN UMUM INTEGRASI RUSUN;12C;RUSUN WADUK PLUIT- PENJARINGAN;9.473
Agustus;2019;ANGKUTAN UMUM INTEGRASI RUSUN;12D;RUSUN SUKAPURA - SUNTER (VIA KELAPA GADING);9.183
Agustus;2019;ANGKUTAN UMUM INTEGRASI RUSUN;12F;RUSUN MARUNDA - RUSUN WADUK PLUIT;27.73
Agustus;2019;ANGKUTAN UMUM INTEGRASI RUSUN;12H;RUSUN PENJARINGAN - PENJARINGAN;5.905
Agustus;2019;LAMPIRAN LAYANAN GRATIS BRT;PNS;GRATIS PNS DKI DAN PENSIUNAN PNS;45.227
Agustus;2019;LAMPIRAN LAYANAN GRATIS BRT;TKD;GRATIS TENAGA KONTRAK DKI;21.994
Agustus;2019;LAMPIRAN LAYANAN GRATIS BRT;KJP;GRATIS PENERIMA KJP;37.5
Agustus;2019;LAMPIRAN LAYANAN GRATIS BRT;KST;GRATIS KARYAWAN SWASTA TERTENTU;6.776
Agustus;2019;LAMPIRAN LAYANAN GRATIS BRT;RSN;GRATIS PENGHUNI RUMAH SUSUN;20.654
Agustus;2019;LAMPIRAN LAYANAN GRATIS BRT;PAS;GRATIS KTP KEPULAUAN SERIBU;666
Agustus;2019;LAMPIRAN LAYANAN GRATIS BRT;PBS;GRATIS PENERIMA RASKIN;1.896
Agustus;2019;LAMPIRAN LAYANAN GRATIS BRT;TNI;GRATIS TNI/POLRI;8
Agustus;2019;LAMPIRAN LAYANAN GRATIS BRT;VET;GRATIS VETERAN;0
Agustus;2019;LAMPIRAN LAYANAN GRATIS BRT;KPD;GRATIS PENYANDANG DISABILITAS;7.965
Agustus;2019;LAMPIRAN LAYANAN GRATIS BRT;PLU;GRATIS LANSIA;376.338
Agustus;2019;LAMPIRAN LAYANAN GRATIS BRT;MAR;GRATIS MARBOT;51
Agustus;2019;LAMPIRAN LAYANAN GRATIS BRT;PAUD;GRATIS PAUD;6.966
Agustus;2019;LAMPIRAN LAYANAN GRATIS BRT;JMT;GRATIS JUMANTIK;7.692
Agustus;2019;LAMPIRAN RINCIAN GRATIS GATE NON BRT;B11;HALTE MM BARAT;713
Agustus;2019;LAMPIRAN RINCIAN GRATIS GATE NON BRT;B12;HALTE SUMARECON BEKASI;436
Agustus;2019;LAMPIRAN RINCIAN GRATIS GATE NON BRT;B21;HALTE BULAK KAPAL;716
Agustus;2019;LAMPIRAN RINCIAN GRATIS GATE NON BRT;B22;HALTE BTC;365
Agustus;2019;LAMPIRAN RINCIAN GRATIS GATE NON BRT;6C;HALTE TEBET;803
September;2019;BRT;1;KORIDOR 1 (BLOK M - KOTA);2.491.625
September;2019;BRT;2;KORIDOR 2 (PULOGADUNG 1 - HARMONI);901.232
September;2019;BRT;3;KORIDOR 3 (KALIDERES - PASAR BARU);1.084.451
September;2019;BRT;4;KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2);855.969
September;2019;BRT;5;KORIDOR 5 (KAMPUNG MELAYU - ANCOL);1.087.309
September;2019;BRT;6;KORIDOR 6 (RAGUNAN - DUKUH ATAS 2);1.063.009
September;2019;BRT;7;KORIDOR 7 (KAMPUNG RAMBUTAN - KAMPUNG MELAYU);1.041.480
September;2019;BRT;8;KORIDOR 8 (LEBAK BULUS - HARMONI);1.107.208
September;2019;BRT;9;KORIDOR 9 (PINANG RANTI - PLUIT);1.505.715
September;2019;BRT;10;KORIDOR 10 (PGC 2 - PLUIT);851.844
September;2019;BRT;11;KORIDOR 11 (PULOGEBANG - KAMPUNG MELAYU);335.932
September;2019;BRT;12;KORIDOR 12 (PENJARINGAN - TANJUNG PRIOK);264.535
September;2019;BRT;13;KORIDOR 13 (CBD CILEDUG - BLOK M);783.995
September;2019;ANGKUTAN UMUM INTEGRASI;1A;PIK - BALAIKOTA;115.482
September;2019;ANGKUTAN UMUM INTEGRASI;1B;STASIUN PALMERAH - TOSARI;57.38
September;2019;ANGKUTAN UMUM INTEGRASI;1F;STASIUN PALMERAH - BUNDARAN SENAYAN;32.468
September;2019;ANGKUTAN UMUM INTEGRASI;1C;PESANGGRAHAN - BLOK M;60.265
September;2019;ANGKUTAN UMUM INTEGRASI;1E;PONDOK LABU - BLOK M;176.328
September;2019;ANGKUTAN UMUM INTEGRASI;1H;STASIUN TANAH ABANG - STASIUN GONDANGDIA;65.728
September;2019;ANGKUTAN UMUM INTEGRASI;1M ;BLOK M - MERUYA;46.245
September;2019;ANGKUTAN UMUM INTEGRASI;1N;TANAH ABANG - BLOK M;36.016
September;2019;ANGKUTAN UMUM INTEGRASI;1P;SENEN - BUNDERAN SENAYAN;33.4
September;2019;ANGKUTAN UMUM INTEGRASI;1Q;REMPOA - BLOK M;69.975
September;2019;ANGKUTAN UMUM INTEGRASI;1R;STASIUN PASAR SENEN - STASIUN TANAH ABANG;46.481
September;2019;ANGKUTAN UMUM INTEGRASI;2K;JGC - HARAPAN INDAH;2.591
September;2019;ANGKUTAN UMUM INTEGRASI;3D;PENJARINGAN - RAWA BUAYA;38.584
September;2019;ANGKUTAN UMUM INTEGRASI;3E;SENTRALAND CENGKARENG - PURI KEMBANGAN;49.745
September;2019;ANGKUTAN UMUM INTEGRASI;4A;TU GAS - GROGOL 2;23.401
September;2019;ANGKUTAN UMUM INTEGRASI;4B;STASIUN MANGGARAI - UI;215.939
September;2019;ANGKUTAN UMUM INTEGRASI;4C;TU GAS - BUNDERAN SENAYAN;16.531
September;2019;ANGKUTAN UMUM INTEGRASI;4F;PONDOK GEDE - PULOGADUNG 2;137.865
September;2019;ANGKUTAN UMUM INTEGRASI;DA1;DUKUH ATAS - SAM RATULANGI;6.906
September;2019;ANGKUTAN UMUM INTEGRASI;DA2;DUKUH ATAS - TANAH ABANG;8.244
September;2019;ANGKUTAN UMUM INTEGRASI;DA3;DUKUH ATAS - KUNINGAN;7.848
September;2019;ANGKUTAN UMUM INTEGRASI;DA4;DUKUH ATAS - KOTA;8.071
September;2019;ANGKUTAN UMUM INTEGRASI;5A;KAMPUNG MELAYU - GROGOL 1;38.143
September;2019;ANGKUTAN UMUM INTEGRASI;5B;STASIUN TEBET - BIDARA CINA;43.094
September;2019;ANGKUTAN UMUM INTEGRASI;5F;KAMPUNG MELAYU - TANAH ABANG;56.973
September;2019;ANGKUTAN UMUM INTEGRASI;6C;STASIUN TEBET - KARET VIA PATRA KUNINGAN;238.58
September;2019;ANGKUTAN UMUM INTEGRASI;6H;LEBAK BULUS - STASIUN SENEN;110.438
September;2019;ANGKUTAN UMUM INTEGRASI;6M;BLOK M - STASIUN MANGGARAI;83.176
September;2019;ANGKUTAN UMUM INTEGRASI;6N;RAGUNAN - BLOK M VIA KEMANG;105.674
September;2019;ANGKUTAN UMUM INTEGRASI;6Q;EPICENTRUM - CASABLANCA;13.357
September;2019;ANGKUTAN UMUM INTEGRASI;7A;KAMPUNG RAMBUTAN - LEBAK BULUS;109.33
September;2019;ANGKUTAN UMUM INTEGRASI;7B;KAMPUNG RAMBUTAN - BLOK M;109.248
September;2019;ANGKUTAN UMUM INTEGRASI;7D;PANCORAN - TMII;77.985
September;2019;ANGKUTAN UMUM INTEGRASI;7E;KAMPUNG RAMBUTAN - RAGUNAN;16.239
September;2019;ANGKUTAN UMUM INTEGRASI;7N;GANDARIA - KAMPUNG RAMBUTAN;7.814
September;2019;ANGKUTAN UMUM INTEGRASI;7P;PONDOK KELAPA - BKN;26.438
September;2019;ANGKUTAN UMUM INTEGRASI;8C;KEBAYORAN LAMA - TANAH ABANG;75.36
September;2019;ANGKUTAN UMUM INTEGRASI;8D;JOGLO - BLOK M;89.23
September;2019;ANGKUTAN UMUM INTEGRASI;8E;BINTARO - BLOK M;58.612
September;2019;ANGKUTAN UMUM INTEGRASI;8K;BATUSARI - TANAH ABANG;44.507
September;2019;ANGKUTAN UMUM INTEGRASI;9D;PASAR MINGGU - TANAH ABANG;140.745
September;2019;ANGKUTAN UMUM INTEGRASI;9E;KEBAYORAN LAMA - GROGOL 2;64.808
September;2019;ANGKUTAN UMUM INTEGRASI;9H;CIPEDAK - BLOK M;64.11
September;2019;ANGKUTAN UMUM INTEGRASI;11A;PULO GEBANG - RAWAMANGUN;16.053
September;2019;ANGKUTAN UMUM INTEGRASI;11D;PULOGEBANG - PULOGADUNG 2 VIA PIK;83.859
September;2019;ANGKUTAN UMUM INTEGRASI;11Q;KAMPUNG MELAYU - PULOGEBANG VIA BKT;67.955
September;2019;ANGKUTAN UMUM INTEGRASI;11T;PULO GEBANG - STASIUN CAKUNG;693
September;2019;ANGKUTAN UMUM INTEGRASI;11U;PULOGEBANG - STASIUN CAKUNG VIA CILINCING;9.398
September;2019;ANGKUTAN UMUM INTEGRASI;12A;PELABUHAN KALIADEM - KOTA;13.934
September;2019;ANGKUTAN UMUM INTEGRASI;12B;PLUIT - STASIUN SENEN;40.464
September;2019;ANGKUTAN UMUM INTEGRASI;12E;HISTORY OF JAKARTA EXPLORER;8.152
September;2019;ANGKUTAN UMUM INTEGRASI;12K;ASEMKA EXPLORER;9.111
September;2019;ANGKUTAN UMUM INTEGRASI;MR1;CSW - PAKUBUWONO;3.07
September;2019;ANGKUTAN UMUM INTEGRASI;MR2;CSW - KRAMAT PELA;10.423
September;2019;ANGKUTAN UMUM INTEGRASI;MR3;CSW - WIJAYA;4.104
September;2019;ANGKUTAN UMUM INTEGRASI;MR5;STASIUN MRT BLOK A - RADIO DALAM;6.859
September;2019;ANGKUTAN UMUM INTEGRASI;MR8;CIPETE - ANTASARI;6.896
September;2019;ANGKUTAN UMUM INTEGRASI;MR9;SOUTH QUARTER - LEBAK BULUS;8.244
September;2019;ANGKUTAN UMUM INTEGRASI;10K;SENIN - TANJUNG PRIOK;2.866
September;2019;TRANSJABODETABEK;B11;SUMMARECON BEKASI - TOSARI;63.747
September;2019;TRANSJABODETABEK;B12;SUMMARECON BEKASI - TANJUNG PRIOK;43.112
September;2019;TRANSJABODETABEK;B21;BEKASI TIMUR - GROGOL 2;83.348
September;2019;TRANSJABODETABEK;B22;BEKASI TIMUR - JUANDA;52.545
September;2019;TRANSJABODETABEK;D11;DEPOK - BKN;110.139
September;2019;TRANSJABODETABEK;D21;UI - LEBAK BULUS;138.423
September;2019;TRANSJABODETABEK;S11;BSD - GROGOL 2;125.578
September;2019;TRANSJABODETABEK;S21;CIPUTAT - TOSARI;157.416
September;2019;TRANSJABODETABEK;S22;CIPUTAT - KAMPUNG RAMBUTAN;103.609
September;2019;TRANSJABODETABEK;S41;PONDOK CABE - TANAH ABANG;62.682
September;2019;TRANSJABODETABEK;T11;PORIS PLAWAD - BUNDARAN SENAYAN;225.668
September;2019;TRANSJABODETABEK;T12;PORIS PLAWAD - JUANDA;85.867
September;2019;TRANSJABODETABEK;7C;CIBUBUR - BKN;178.382
September;2019;TRANSJABODETABEK;2B;HARAPAN INDAH - ASMI;104.683
September;2019; ANGKUTAN EKSEKUTIF ROYAL TRANS ;B13;BEKASI BARAT - BLOK M;18.607
September;2019; ANGKUTAN EKSEKUTIF ROYAL TRANS ;B14;BEKASI BARAT - KUNINGAN;16.116
September;2019; ANGKUTAN EKSEKUTIF ROYAL TRANS ;B23;BEKASI TIMUR - TEBET;973
September;2019; ANGKUTAN EKSEKUTIF ROYAL TRANS ;B24;BEKASI TIMUR - KALIDERES;3.338
September;2019; ANGKUTAN EKSEKUTIF ROYAL TRANS ;1K;CIBUBUR JUNCTION - BLOK M;19.471
September;2019; ANGKUTAN EKSEKUTIF ROYAL TRANS ;1T;CIBUBUR - KOTA;15.968
September;2019; ANGKUTAN EKSEKUTIF ROYAL TRANS ;6P;CIBUBUR - KUNINGAN;18.347
September;2019; ANGKUTAN EKSEKUTIF ROYAL TRANS ;1U;TAMAN MINI - BALAI KOTA;5.439
September;2019; ANGKUTAN EKSEKUTIF ROYAL TRANS ;D31;CINERE - KUNINGAN;2.247
September;2019; ANGKUTAN EKSEKUTIF ROYAL TRANS ;S31;BINTARO - BLOK M VIA JORR;15.289
September;2019; ANGKUTAN EKSEKUTIF ROYAL TRANS ;S12;BSD - MRT FATMAWATI;19.892
September;2019; ANGKUTAN EKSEKUTIF ROYAL TRANS ;B15;JATI BENING - BLOK M;5.027
September;2019; ANGKUTAN EKSEKUTIF ROYAL TRANS ;B16;JATI BENING - KUNINGAN;1.466
September;2019; ANGKUTAN UMUM LAINNYA ;GR1;BUNDARAN SENAYAN - HARMONI (BUS GRATIS);412.508
September;2019; ANGKUTAN UMUM LAINNYA ;GR2;TANAH ABANG EXPLORER;213.685
September;2019; ANGKUTAN UMUM LAINNYA ;TJC;TRANSJAKARTA CARES;4.687
September;2019; ANGKUTAN UMUM LAINNYA ;G1;GRATIS GATE NON BRT;3.449
September;2019; ANGKUTAN UMUM LAINNYA ;;TIKET KERTAS GRATIS PLN PADAM (NON BRT);0
September;2019; ANGKUTAN UMUM LAINNYA ;;ROMBONGAN DKI BALAIKOTA - PIK;0
September;2019; ANGKUTAN UMUM LAINNYA ;;ROMBONGAN APRESIASI LURAH/CAMAT DKI;6.326
September;2019; ANGKUTAN UMUM LAINNYA ;;ROMBONGAN BUDAYA DISABILITAS;0
September;2019; ANGKUTAN UMUM LAINNYA ;;ROMBONGAN PAWAI OBOR 1 M 1441 H;0
September;2019; ANGKUTAN UMUM LAINNYA ;;ROMBONGAN ACARA ISOCARP 55;1
September;2019; ANGKUTAN UMUM LAINNYA ;;ACARA LENONG BETAWI;1.12
September;2019; ANGKUTAN UMUM LAINNYA ;;ACARA ANAK YATIM;1.914
September;2019; ANGKUTAN UMUM LAINNYA ;;ROMBONGAN RT/RW JUMANTIK;9.252
September;2019; ANGKUTAN UMUM LAINNYA ;;ROMBONGAN IKADA;200
September;2019; ANGKUTAN UMUM LAINNYA ;;ROMBONGAN PKK DKI;8.92
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-1;TANJUNG PRIOK - PLUMPANG;94.884
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-2;KAMPUNG MELAYU - DUREN SAWIT;78.887
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-3;LEBAK BULUS - PONDOK LABU;74.315
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-4;GROGOL - JEMBATAN DUA;69.606
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-5;SEMPER - ROROTAN;111.26
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-6;KAMPUNG RAMBUTAN - PONDOK GEDE;116.468
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-7;TANAH ABANG - TAWAKAL;80.757
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-8;ROXY - BENDUNGAN HILIR;17.147
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-10;TANAH ABANG-KOTA;51.101
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-11;TANAH ABANG-KEBAYORAN LAMA;64.979
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-12;TANAH ABANG- KAMPUNG BARU KEBAYORAN;48.199
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-14;TANAH ABANG-MERUYA;127.424
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-15;TANJUNG PRIOK - BULAK TURI;175.585
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-16;PGC - CONDET;147.19
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-17;PULOGADUNG - SENEN;55.867
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-18;STASIUN KALIBATA - KUNINGAN;40.948
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-19;PINANG RANTI - SETU;235.625
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-20;LUBANG BUAYA - CAWANG UKI;143.263
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-21;DWIKORA - CILILITAN;152.556
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-22;PENAS KALIMALANG - DWIKORA;72.467
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-24;SENEN - PULOGADUNG VIA KELAPA GADING;89.301
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-25;PASAR REBO - KALISARI;90.685
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-26;RAWAMANGUN - DUREN SAWIT;84.539
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-27;PULOGEBANG - ROROTAN;81.208
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-28;PASAR REBO - TAMAN WILADATIKA;117.709
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-29;TANJUNG PRIOK - KELAPA GADING;160.182
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-30;MERUYA - CITRALAND;240.146
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-31;PONDOK LABU - BLOK M;143.159
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-32;PETUKANGAN - LEBAK BULUS;166.305
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-33;PULO GADUNG - KOTA;60.805
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-34;RAWAMANGUN - KLENDER;86.5
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-36;CILANGKAP - CILILITAN;109.654
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-37;CILILITAN - CONDET VIA KAYU MANIS;149.179
September;2019; ANGKUTAN INTEGRASI BUS KECIL ;JAK-38;BULAK RINGIN - KAMPUNG RAMBUTAN;110.509
